,ROTATION,BLOB,CONTRAST,EDGE,cr_mean,normal_32_mean,normal_256_mean,sample_mean,cr_margin,normal_32_margin,normal_256_margin,sample_margin,max_diff_ratio,max_diff_sample_ratio,sample_cr_ratio
ROT0_BLO0_CON0_EDG0,0,0,0,0,-inf,-inf,-inf,-inf,,,,,-inf,-inf,-inf
ROT0_BLO0_CON0_EDG1,0,0,0,1,0.14898893277553354,-0.006074598258624719,0.19478255659699928,0.24337391961397348,0.006600113316649881,0.0017347217561652069,0.0018802261224330945,0.04598979828085454,-0.23510125660898737,0.24946465364200263,0.633503342027694
ROT0_BLO0_CON1_EDG0,0,0,1,0,0.3380458924873936,0.19024790233107736,0.19343875608540195,0.21825046883599103,0.031045338209211952,0.012395187183906657,0.03442351979322348,0.03035581740052056,0.747560309673148,0.12826650280792162,-0.35437621433566147
ROT0_BLO0_CON1_EDG1,0,0,1,1,0.14391342856544437,0.06542266721520487,0.10231996661774176,0.1185676742175475,0.01840055490610074,0.0010672701733438301,0.008544996983294995,0.0177696175879473,0.4065038654976507,0.15879312842727686,-0.17611806348127498
ROT0_BLO1_CON0_EDG0,0,1,0,0,0.15497748334182807,0.22177495545310918,0.0008029232050103085,0.0016028905832225313,0.006593871656218806,0.04652487255005112,9.825596719196346e-05,0.0007869447079372897,-0.3011948394930662,-0.9927724454731706,-0.9896572679549385
ROT0_BLO1_CON0_EDG1,0,1,0,1,0.11953751508119219,0.08555567614498491,0.07256302243055009,0.0840676677479429,0.011761582746307913,0.014066379693744144,0.0015910760795092907,0.011667446940205845,0.3971897653946508,-0.01739228142526033,-0.2967256539435129
ROT0_BLO1_CON1_EDG0,0,1,1,0,0.1120842924507597,0.09339947682751468,0.05776627968652785,0.06589037325147416,0.0010660755288544803,0.014928454223731936,0.00594725373031366,0.010147928329884674,0.20005267971416124,-0.2945316666692138,-0.41213552933457837
ROT0_BLO1_CON1_EDG1,0,1,1,1,0.09023191422757659,0.023948040850491258,0.04149312726520045,0.05346323959744822,0.0003945714560352159,0.03008745954921956,0.014856263339059326,0.011209141083062982,1.1746231285693547,0.28848421705458893,-0.4074907968525749
ROT1_BLO0_CON0_EDG0,1,0,0,0,0.01342593615743679,4.3495027489992544e-05,0.008146009245974063,0.012590395156993076,0.0012377851459520306,0.0014590921372611544,0.003032740998639471,0.0029999333184325197,0.6481611734079706,0.5455905802237488,-0.06223335122749698
ROT1_BLO0_CON0_EDG1,1,0,0,1,0.6219876698096097,0.10023024924512504,0.5498509529156483,0.5775958417080276,0.017389831132976794,0.00316071841561992,0.024994083628862667,0.018626410468022436,0.13119321974700254,0.05045892645135697,-0.07137091337384627
ROT1_BLO0_CON1_EDG0,1,0,1,0,0.5643681085254554,0.4279535127604718,0.5221069750542184,0.5435721943470837,0.016068827026327424,0.013222042203955332,0.020905073350190526,0.02196123328412472,0.08094343782104868,0.04111268440847051,-0.0368481384121897
ROT1_BLO0_CON1_EDG1,1,0,1,1,0.14827668253571302,0.07330038195242063,0.12174532811281225,0.12641226031278613,0.03067890041521443,0.013983665406338852,0.015878319465244577,0.027351353352662394,0.2179250311627249,0.03833356295733491,-0.1474569153356986
ROT1_BLO1_CON0_EDG0,1,1,0,0,0.5864103539255484,0.42450436904218225,0.2755927173185487,0.2489365270766705,0.008965799732992753,0.00733192578959304,0.00717802105968059,0.023965769816707817,0.3814000436525021,-0.41358312132722924,-0.575490907672009
ROT1_BLO1_CON0_EDG1,1,1,0,1,0.1247561957786345,0.07124381391375761,0.07007956337646548,0.07886924017751043,0.0008610107002874103,0.006871221193410153,0.0060402834537286905,0.015403239783822336,0.7511161871493144,0.10703281934040731,-0.36781303978317187
ROT1_BLO1_CON1_EDG0,1,1,1,0,0.12025550014259377,0.10745084508090358,0.06216079561450322,0.06475275821145435,0.022020936574797763,0.033427304798905516,0.033715051717706335,0.011126957947809987,0.11916756031140668,-0.397373206672319,-0.4615401529686931
ROT1_BLO1_CON1_EDG1,1,1,1,1,0.06656523586843377,0.04550401942329391,0.050634846311180336,0.05350128907797116,0.006212178104900009,0.009391650393662623,0.005019097779544971,0.00780223230181493,0.31461317092486074,0.05661008130991211,-0.19625780063761075
